ARTICULO	DESCRIPCION	CLASIFICACION_2	ULTIMO_INGRESO	ACTIVO	NOTAS	UNIDAD_VENTA	CANASTA_BASICA	CODIGO_HACIENDA
001	JABON  EN ESPUMA	QUIMICOS	Jun 23 2020 12:00AM	S		CAJA	N	3532101990000
002	XPRESSNAP CAFE ADEVDNCED 500S	SUMINISTRO	Jun 23 2020 12:00AM	S	 	CAJA	N	
00266	KCP GUAN KLNGD G80 NIT VERD T8 1X12	SALUD	Nov 30 2020  9:09AM	S	 	CAJA	N	3626001999900
003	TOALLA MANO ADVANCED 250 HOJAS	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJA	N	3219302039900
1	DETERGENTE ARIEL 400 GR	SUMINISTRO	Sep 30 2021  6:18PM	S	 	PTE	N	3532201060000
10	ESPATULA METALICA ROJA  3 PULGADAS	SUMINISTRO	May  7 2025  6:04PM	S	 	UND	N	4299901990700
100	CERA P/PISOS ROJA GAREND  LITRO	SUMINISTRO	Aug 20 2025  4:31PM	S	 	LT	N	3533200019900
1000	EXTENSION 240-480CM P/ESCOBA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	4291201990300
1001	PAPEL ALUMINIO 25 PIES PAL	SUMINISTRO	Jan 19 2024  1:27PM	S		ROLLO	N	4153501990100
1002	INSECTICIDA BAYGON SPRAY 250 ML	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3466100999900
1003	GLADE AEROSOL MANDARINA Y LUZ DE SOL 400ML	SUMINISTRO	Jun 16 2021 11:08AM	S	 	UND	N	3533199000000
1004	ACIDO ACETICO FOOD GRADE (cubeta32k)	QUMIICODIST	Apr  5 2022  3:33PM	S	 	KG	N	3414001020100
1005	BOLSA JUMBO 90X146 CM BOLMAX OXO NATURAL 1X10	BOLSAS	Jul  7 2021  5:09PM	S	 	KG	N	3641099999900
1006	COCA COLA MINI LATA ZERO	SUMINISTRO	Jul 11 2023  5:21PM	S	 	UND	N	2449001000000
1007	JABÓN STEROP LISAN ANTISÉPTICO Y GERMICIDA GALÓN	SUMINISTRO	Aug 14 2025  3:51PM	S	 	UND	N	3532101029900
1008	ESENCIA DE LIMON PALIDSA 0771/H	MATPRIMAS	Jun 23 2020 12:00AM	S	 	KG	N	
1009	ALCOHOL 95 GRADOS 1000 ML DESNATURALIZADO	SUMINISTRO	Jun 23 2020 12:00AM	S		LT	N	3466499999900
101	TABCIN DIA LIQUID GEL 1X12 UND	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1010	BUSCAPINA SIMPLE CON 3 AMPOLLAS	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJA	N	
1011	DEXATON AMPOLLA 5MG / 1 ML	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1012	DICLOFENACO SODICO AMPOLLA 75 MG	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1013	DICLORFEN 5 AMPOLLAS	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1014	TERRAMICINA UNGUENTO 5GR	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1015	ARCOXIA 120 MG 1 X 14 PASTILLAS	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1016	O.Z. MOCINAZOL CREMA DE 20 GRAMOS	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1017	ZOPICLONA 7.5 MG 1 X 10 TABLETAS	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1018	JERINGAS 5CC 22 X 1 / 1 X 100 NIPRO	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1019	BOTELLA PLAST.500ML  C/TRIGER	ENVASES	Jun 23 2020 12:00AM	S		UND	N	3649002009900
102	FILTRO CAFÉ INDUSTRIASL # 12 1X1000	SUMINISTRO	May 13 2025  4:47PM	S		CAJA	N	3219903990200
1020	GLADE PLUGINS APARATO-REPUESTO MANZANA Y CANELA	SUMINISTRO	Dec 23 2021  4:46PM	S	 	UND	N	3533199000000
1021	AGUA ESTERIL	SUMINISTRO	Jun 23 2020 12:00AM	S		LT	N	3425004019900
1022	COLADOR PLASTICO MEDIANO	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3694000999900
1023	PANADOL ANTIGRIPAL 1 X 100	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1024	TABCIN ANTIGRIPAL 1 X 72	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1025	GUANTE LATEX CLASICO ETERNA	SUMINISTRO	Jul 29 2021  6:28PM	S	 	UND	N	3626001999900
1026	ESCOBA ECONOMICA FLORENCIA VERDE  1X12	SUMINISTRO	Sep 30 2021  5:37PM	S	 	UND	S	3899301020100
1027	DETERGENTE FAB 900 GRS	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	3532201060000
1028	VANISH ROSA BOLSA 800ML	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3532201999900
1029	GALLETA CANASTA PIÑA 24 X12	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2341000009900
103	PINTURA NEGRA BRILLANTA SPRAY	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1030	GALLETA BOKITA 1 X 10 UND	SUMINISTRO	Aug 20 2025  8:09AM	S	 	PTE	S	2341000009900
1031	GALLETA CHIKY VAINILLA 1X12	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2341000009900
1032	GALLETA POZUELO CREMA/FRESA	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2341000009900
1033	GALLETA POZUELO CREMA/ CHOCOLATE	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2341000009900
1034	GALLETA SODA MULTICEREAL 1 X 8	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2341000009900
1035	GALON AMBIENTAL RESIDUAL ALL DAY	SUMINISTRO	Jan 13 2025  3:00PM	S		GALON	N	3533199000000
1036	ALGODON 100 GRAMOS	SUMINISTRO	Aug  2 2020 10:16AM	S		UND	N	
1037	DESODORANTE AMBIENTAL AEROSOL VARIOS 180GRS	SUMINISTRO	Aug  4 2021  8:10AM	S	 	UND	N	3533199000000
1038	AGUA CIELO 635 ML BOTELLA	SUMINISTRO	Aug 10 2021  9:45AM	S	 	UND	N	2441099000000
1039	AGUA 500 ML BOTELLA	SUMINISTRO	Jul 14 2025  2:14PM	S	 	UND	N	2441099000000
104	TROPICAL DE MELOCOTON 900 ML	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	2399905000200
1040	DETERGENTE FAB 1400 GRS	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	3532201060000
1041	GUANTE DE MICROFIBRA AZUL ECO	SUMINISTRO	Aug 18 2021  4:28PM	S	 	UND	N	2719004999900
1042	PAÑUELOS FACIAL KLEENEX POCKET 1X10 PTE	SUMINISTRO	Aug  2 2020 10:16AM	S		UND	N	3219302039900
1043	GUANTE DE MICROFIBRA VERDE ECO	SUMINISTRO	Aug 18 2021  4:28PM	S	 	UND	N	2719004999900
1044	AGUA CRISTAL 355ML	SUMINISTRO	Sep  5 2023  5:21PM	S		UND	N	2441099000000
1045	SOPORTE PLASTICO RECICLAJE NEGRO 2007910 RB	SUMINISTRO	Aug 18 2021  5:44PM	S	 	UND	N	3699099999900
1046	BARRAS SACIALS ROSADA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	2399905000200
1047	ETIQUETA DURALAC THINNER	ENVASES	Aug 24 2022  3:51PM	S	 	UND	N	3219700010000
1048	INSECTICIDA RAID 226ML	SUMINISTRO	Aug 27 2021  4:45PM	S	 	UND	N	3466100999900
1049	BARRAS SACIALS CHOCOLATE	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	2399905000200
105	JUGO DE PERA TETRABRICK 1000ML	SUMINISTRO	Jun 23 2020 12:00AM	S		LT	N	2449002000300
1050	BARRAS SACIALS CHOCOLATE BLANCO	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	2399905000200
1051	 LIMPIADOR 409 MULTIUSO TRIGGER 1000ML	SUMINISTRO	Oct 15 2021  3:37PM	N	 	UND	N	3532201990400
1052	GALLETA SANÍSIMAS	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	2341000009900
1053	CONFITES CHAO MENTA	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2367000000500
1054	TOALLAS HUMEDAS HUGGIES ACTIVE FRESH 48P	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	3219302039900
1055	ALCOHOL LÍQUIDO AL 70% GL	SUMINISTRO	Aug 24 2024  9:30AM	S	 	GALON	N	3413100000000
1056	ALFOMBRA NOMAD 1.30 X 1.60 C/REBORDE (6377)	SUMINISTRO	Aug 25 2021  7:20PM	S	 	UND	N	2721000000100
