CLIENTE	NOMBRE	DIRECCION	TELEFONO1	CONTRIBUYENTE	MONEDA	LIMITE_CREDITO	CONDICION_PAGO	VENDEDOR	ACTIVO	E_MAIL	EMAIL_DOC_ELECTRONICO
00001	THE EYESPA SAN JOSE S.A	PASEO COLON 175 METROS OESTE DE LA JUNTA DE PROTECCION SOCIAL	99999999	3101766227	CRC	1000000.00000000	30	0011	S	asistente@eyespa.cr	anrocar04@gmail.com
00002	AGROSUPERIOR S.A	URUCA 200 mts norte y 75 este de bomba UNO entrando por la peregrina.	99999999	3101272187	CRC	5000000.00000000	60	0011	S	aalfaro@agrosuperior.com	proveedores@agrosuperior.com
00003	FIFCO:PRODUCTORA LA FLORIDA S.A	BARRIAL DE HEREDIA PLANTA PEPSI A003	99999999	3101306901	CRC	25000000.00000000	60	0011	S	henrri.solorsano@fifco.com	recepcionfacturaelectronica@fifco.com
00004	UNION COMERCIAL DE COSTA RICA UNICOMER S.A	EL COYOL DE ALAJUELA (MANTENIMIENTO)	99999999	3101074154	CRC	5000000.00000000	30	0011	S	cr_fe_compras@unicomer.com	cr_fe_mantenimiento@unicomer.com
00005	URBANIZACION LA PAZ SC SA	DESAMPARADOS SAN JOSE	99999999	3101231049	CRC	1.00000000	1	0011	S	proveeduria@grupocasaconde.com	facturasccj@grupocasaconde.com
00006	ECODESARROLLO PAPAGAYO LTDA	ENVIAR POR CURUBANDE	99999999	3102132790	CRC	500000.00000000	45	0011	S	fabian.vargas@ppgy.net	eco.facturas@ppgy.net
00007	FIFCO: PRODUCTORA LA FLORIDA  SA	PLANTA CRISTAL RIO SEGUNDO ALAJUELA	99999999	3101306901	CRC	30000000.00000000	60	0011	S	recepcionfacturaelectronica@fifco.com	recepcionfacturaelectronica@fifco.com
00008	CORP. COMPAÑIAS AGROINDUSTRIALES CCA S.R.L.	RIO GRANDE  ATENAS	99999999	3102085278	CRC	10000000.00000000	90	0007	S	CAMCRCUE49@wal-mart.com	dtecr.prod@einvoicing.signature-cloud.com
00009	FIFCO: PRODUCTORA LA FLORIDA SA	PLANTA CRISTAL RIO SEGUNDO ALAJUELA	99999999	3101306901	CRC	35000000.00000000	60	0011	S	recepcionfacturaelectronica@fifco.com	recepcionfacturaelectronica@Fifco.com
00010	FIFCO: EMBOTELLADORA CENTROAMERICANA LTDA	BARREAL HEREDIA	99999999	3102121156	CRC	5000000.00000000	60	0011	S	recepcionfacturaelectronica@fifco.com	recepcionfacturaelectronica@fifco.com
00011	NUECES INDUSTRIALES SA	URUCA SAN JOSE	99999999	3101034159	CRC	5000000.00000000	30	0007	S	mrivera@nuecesindustriales.com	fe@nuecesindustriales.com
00012	YARA COSTA RICA SRL	LA URUCA OFICENTRO GALICIA 2 PISO	99999999	3102005500	CRC	5000000.00000000	30	0011	S	proveedorescr@yara.com	proveedorescr@yara.com
00013	CAJA ANDE	SAN JOSE	99999999	3007002820	CRC	5000000.00000000	30	0012	S	aportuguez@cajadeande.fi.cr	tramitefactura@cajadeande.fi.cr
00014	COMPAÑIA FARMACEUTICA SA	DEL 2º CIRCUITO JUDICIAL 250 O Y 150 SE,	99999999	3101002403	CRC	1000000.00000000	30	0011	S	recepcionfacturacofasa@cofasa.com	cf-servicios-fe@cofasa.com
00015	LAB. COMPAÑIA FARMACEUTICA S.A	GUADALUPE	99999999	3101021545	CRC	1000000.00000000	30	0011	S	hlewis@cofasa.com	lc-compras-fe@cofasa.com
00016	WACO LTDA	SAN JOSE AVE. PRIMERA ENTRE CALLES 9 Y 11 FRENTE A UNIVERSIDAD SAN MARCOS	99999999	3102019718	CRC	1000000.00000000	30	0014	S	cxp@casinoclubcolonial.com	facwaco@casinoclubcolonial.com
00017	PRECISION CONCEPTS COSTA RICA S.A	ZONA FRANCA SARET EDF C7  ALAJUELA	99999999	3101204729	CRC	5000000.00000000	60	0003	S	auxconta@pc-cr.com	aplocal-bala-smb@biomerics.com
00018	CONSTRUCTORA MECO S.A	SAN JOSE 50 este del hotel san jose palacio	99999999	3101035078	CRC	1.00000000	1	0011	S	proveeduria@construtorameco.com	facturameco@construtorameco.com
00019	OBERG COSTA RICA LTDA	BARREAL DE HEREDIA, ZONA FRANCA METROPLOLITANA,EDIFICIO B3	99999999	3102320974	CRC	3000000.00000000	30	0011	S	apocr@oberg.com	apocr@oberg.com
00020	ASOCIACION NACIONAL DE EDUCADORES Y EDUCADORAS	Heredia, Belén, San Antonio, 300 mts Norte de la iglesia.	88321804	3011045317	CRC	1000000.00000000	30	0011	S	aramirezaga@ande.cr	andecentroderecreobelen@ande.cr
00021	COOPERATIVA AGRICOLA INDUSTRIAL  VICTORIA RL	GRECIA, ALAJUELA SAN ISIDRO, EL MESON. DEL PARQUE DE GRECIA 3KM NORESTE CARRETERA A POAS	99999999	3004045031	CRC	5000000.00000000	30	0011	S	czamora@coopevictoria.com	facturadigitalbodega@coopevictoria.com
00022	CORPORACION PIPASA SRL	OFICINAS CENTRALES BELEN	99999999	3102012933	CRC	30000000.00000000	60	0003	S	CostaRica_Facturas@cargill.com	ElectronicaCR@cargill.com
00023	DETERGENTES Y JABONES (DEJA) S.A	ALAJUELA EN ANTIGUO PUNTO ROJO	99999999	3101002526	CRC	300000.00000000	30	0011	S	rgonzalez@savonecr.com	rgonzalez@savonecr.com
00024	LA YEMA DORADA SA	PAVAS, 6 KM OESTE DE LA EMBAJADA AMERICANA, 800 MTS NORTE DE LA LINEA DEL TREN	99999999	3101007950	CRC	3000000.00000000	30	0006	S	jvasquez@yemadorada.com	facturaelectronica@yemadorada.com
00025	CONTROLES DE CORRIENTE SA	ZONA FRANCA METRO, BARREAL DE HEREDIA, EDIFICIO 5AE	99999999	3101195042	CRC	1000000.00000000	30	0011	S	controles@controlesdecorriente.com	current@controlesdecorriente.com
00026	SERVICIOS HOSPIT LATINOAM. INTEGRADOS SA	GUADALUPE/ 2246-32-38	22463000	3101417130	CRC	35000000.00000000	60	0008	S	tramitadordefacturas@hospitallacatolica.com	cxpelectronica@hilc.cr
00027	CENTRO INTERNACIONAL DE INVERSIONES S.A. (EL ARREO)	LA RIBERA DE BELEN, DE LA FIRESTONE 1 KILOMETRO AL OESTE CONTIGUO A INTEL	22390655	3101008150	CRC	37000000.00000000	60	0008	S	gchaves@elarreo.com	angel.arroyo@grupociisa.com
00028	CONGELADOS DEL MONTE SA	BARREAL	99999999	3101280119	CRC	5000000.00000000	30	0002	S	HFernandez2@FreshDelmonte.com	CREfac@freshdelmonte.com
00029	CORPORACION PIPASA SRL	1KM OESTE TERMINALES STA MARIA	99999999	3102012933	CRC	3000000.00000000	60	0011	S	ElectronicaCR@cargill.com	ElectronicaCR@cargill.com
00030	ESCUELA SANTA MARGARITA SA	BELEN	99999999	3101151439	CRC	1000000.00000000	30	0011	S	contabilidad@saintmargaretschoolcr.com	contabilidad@saintmargaretschoolcr.com
