CODIGO	DESCRIPCION	CLIENTE	NUM_AUTOR	FECHA_RIGE	FECHA_VENCE	PORCENTAJE	TIPO_DOC	NOMBRE_INSTITUCION	CODIGO_INSTITUCION
0105	Exoneración - CREGANNA MEDICAL	01054	9635	2019-12-04	2035-01-01	13.00000000	05		
1	Exoneraci - MATADERO DEL VAL	00210	AL-00247284-19
	2019-10-11	2020-11-16	12.00000000	05	Hacienda	01
10	Exoneración - CIA AGRICOLA IND	00283	AL-00429753-20	2020-09-23	2021-08-20	13.00000000	05	Hacienda	01
100	Exoneración - Roma Prince S.A	00288	AL-00024232-25	2025-08-01	2026-04-06	12.00000000	05	Hacienda	01
101	Exoneración - SNAP ADVANCES CO	00673	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
102	Exoneración - CONCENTRIX CVG C	00682	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
103	Exoneración - APHNN	00464	AL-00018446-24	2024-05-28	2026-05-28	13.00000000	05	Hacienda	01
105	Exoneración - ROCHE SERVICIOS	00700	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
106	Exoneración - MEDTRONIC MEDICA	00712	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
110	Exoneración - ROCHE SERVICES A	00748	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
112	Exoneración - CREGANNA MEDICAL	00901	9635	2019-12-04	2035-01-01	13.00000000	05	Hacienda	01
113	Exoneración - ADMINISTRADORA M	00904	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
116	Exoneración - JUNTA DE EDUCACI	00372	9635	2019-02-14	2035-02-28	13.00000000	05	Hacienda	01
117	Exoneración - FUNDACION AYUDEN	00132	INST PUBLICA	2017-12-18	2023-02-06	13.00000000	03	Hacienda	
118	Exoneración - MUNICIPALIDAD DE	00138	MUNICIPALIDAD	2017-12-18	2025-12-18	13.00000000	05	Hacienda	01
12	Exoneración - CORIMEX S.A	00616	AL-00078327-23	2023-09-22	2025-09-20	13.00000000	04	Hacienda	01
120	Exoneración - JUNTA ADM LICEO	00286	MEP	2017-12-18	2025-12-18	13.00000000	05	Hacienda	01
121	Exoneración - INDUSTRIAS GAREN	00518	14082	2017-12-18	2025-12-18	13.00000000	99	Hacienda	
122	Exoneración - QORVO COSTA RICA	01013	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
123	Exoneración - VWR IINTERCIONAL	00617	9635	2020-08-03	2035-12-31	13.00000000	05	HACIENDA	01
125	Exoneración - GRAN AVIC ONCE	01062	9635	2018-12-04	2035-01-01	12.00000000	03	Hacienda	
127	Exoneración - MONTECILLOS	00049	AL-00356074-20	2020-07-31	2021-05-27	13.00000000	04	Hacienda	
129	Exoneración - RACKAM	01089	9635	2018-12-04	2035-01-01	12.00000000	04	Hacienda	
13	Exoneración - LABORATORIOS BAR	00415	AL-00001918-24	2024-01-17	2026-01-08	13.00000000	05	Hacienda	01
130	Exoneración - RECICLA C.R.	00475	AL-00359154-20	2020-08-31	2021-06-30	13.00000000	05	Hacienda	01
131	Exoneración - JONES LANG LASAL	00730	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
132	Exoneración - JONES LANG LASAL	00685	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
133	Exoneración JONES LANG LASALLE	00729	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
134	Exoneración - JONES LANG LASAL	00731	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
135	Exoneración - JONES LANG LASAL	00732	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
136	Exoneración - JONES LANG LASAL	00824	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
137	Exoneración - JONES LANG LASAL	00838	9635	2018-12-04	2035-01-01	13.00000000	03	Hacienda	
138	Exoneración - JONES LANG LASAL	00885	9635	2018-12-04	2035-01-01	13.00000000	03	Hacienda	
139	Exoneración - HACIENDA OJO AGU	00184	AL-00064433-21	2021-07-15	2022-04-26	13.00000000	04	Hacienda	
14	Exoneración - INVERSIONES GUAN	00972	AL-00021767-21	2021-03-10	2021-11-09	13.00000000	04	Hacienda	
142	Exoneración - FORMUQUISA	00116	9635	2018-12-04	2035-01-01	12.00000000	05	Hacienda	01
144	Exoneración - Cobrucito Torref	00220	AL-00082588-23	2023-10-23	2025-10-10	12.00000000	05	Hacienda	01
